datetime,temp1,humidity,temp2,humidity2,pressure
5/17/2025 6:33,nan,nan,11.7,81.63,962.21
5/17/2025 6:36,nan,nan,11.52,82.12,962.21
5/17/2025 6:39,nan,nan,11.46,81.78,962.3
5/17/2025 6:42,nan,nan,11.09,83.18,962.38
5/17/2025 6:45,nan,nan,11.51,82.23,962.48
5/17/2025 6:48,nan,nan,11.24,82.46,962.55
5/17/2025 6:51,nan,nan,11.18,82.4,962.64
5/17/2025 6:54,nan,nan,11.24,81.89,962.71
5/17/2025 6:57,nan,nan,11.03,82.81,962.71
5/17/2025 7:00,nan,nan,11.15,81.96,962.71
5/17/2025 7:03,nan,nan,11.06,82.14,962.73
5/17/2025 7:06,nan,nan,11.16,81.55,962.74
5/17/2025 7:09,nan,nan,11.48,80.42,962.77
5/17/2025 7:12,nan,nan,11.68,79.79,962.83
5/17/2025 7:15,nan,nan,12.19,77.79,962.88
5/17/2025 7:18,nan,nan,12.3,77.32,962.91
5/17/2025 7:21,nan,nan,11.65,78.57,962.87
5/17/2025 7:24,nan,nan,12.18,77.4,962.89
5/17/2025 7:27,nan,nan,12.38,77.29,962.88
5/17/2025 7:30,nan,nan,12.45,76.7,962.96
5/17/2025 7:33,nan,nan,12.46,77.04,963.04
5/17/2025 7:36,nan,nan,11.69,78.33,963.06
5/17/2025 7:39,nan,nan,11.51,79.14,963.06
5/17/2025 7:42,nan,nan,12.69,76.16,963.2
5/17/2025 7:45,nan,nan,12.12,77.16,963.22
5/17/2025 7:48,nan,nan,12.71,76.03,963.28
5/17/2025 7:51,nan,nan,12.68,76.59,963.29
5/17/2025 7:54,nan,nan,12.84,74.89,963.26
5/17/2025 7:57,nan,nan,11.91,77.15,963.22
5/17/2025 8:00,nan,nan,12.28,76.34,963.2
5/17/2025 8:03,nan,nan,13.1,73.77,963.28
5/17/2025 8:06,nan,nan,12.95,73.93,963.41
5/17/2025 8:09,nan,nan,13.02,73.7,963.43
5/17/2025 8:12,nan,nan,12.64,75.48,963.46
5/17/2025 8:15,nan,nan,12.98,74.92,963.5
5/17/2025 8:18,nan,nan,12.63,75.11,963.46
5/17/2025 8:21,nan,nan,13.13,74.54,963.55
5/17/2025 8:24,nan,nan,13.66,71.92,963.55
5/17/2025 8:27,nan,nan,13.63,72.19,963.51
5/17/2025 8:30,nan,nan,13.73,72.01,963.47
5/17/2025 8:33,nan,nan,12.44,76.5,963.51
5/17/2025 8:36,nan,nan,11.9,77.97,963.56
5/17/2025 8:39,nan,nan,12.08,77.43,963.59
5/17/2025 8:42,nan,nan,11.73,78.36,963.65
5/17/2025 8:45,nan,nan,12.09,77.83,963.65
5/17/2025 8:48,nan,nan,12.26,77.27,963.73
5/17/2025 8:51,nan,nan,12.54,75.52,963.78
5/17/2025 8:54,nan,nan,12.45,75.91,963.85
5/17/2025 8:57,nan,nan,12.5,74.06,963.84
5/17/2025 9:00,nan,nan,12.02,76.78,963.9
5/17/2025 9:03,nan,nan,12.2,76.61,964
5/17/2025 9:06,nan,nan,11.92,77.17,964
5/17/2025 9:09,nan,nan,12.6,75.41,964.03
5/17/2025 9:12,nan,nan,12.71,73.76,964.02
5/17/2025 9:15,nan,nan,12.63,75.26,964.1
5/17/2025 9:18,nan,nan,12.74,75.19,964.11
5/17/2025 9:21,nan,nan,12.8,74.55,964.07
5/17/2025 9:24,nan,nan,13.03,73.03,964.07
5/17/2025 9:27,nan,nan,13.13,72.72,964.16
5/17/2025 9:30,nan,nan,13.41,70.92,964.22
5/17/2025 9:33,nan,nan,14.03,69.49,964.09
5/17/2025 9:36,nan,nan,13.76,69.57,964.09
5/17/2025 9:39,nan,nan,14.51,67.39,964
5/17/2025 9:42,nan,nan,15.01,66.54,963.89
5/17/2025 9:45,nan,nan,15.84,64.88,963.89
5/17/2025 9:48,nan,nan,14.65,65.7,963.94
5/17/2025 9:51,nan,nan,15.1,65.61,963.92
5/17/2025 9:54,nan,nan,14.95,65.5,963.94
5/17/2025 9:57,nan,nan,14.92,66.28,964.05
5/17/2025 10:00,nan,nan,15.62,63.61,964.13
5/17/2025 10:03,nan,nan,16.58,60.02,964.15
5/17/2025 10:06,nan,nan,16.18,62.13,964.16
5/17/2025 10:09,nan,nan,15.99,63.67,964.22
5/17/2025 10:12,nan,nan,15.99,62.53,964.2
5/17/2025 10:15,nan,nan,16.12,62.27,964.21
5/17/2025 10:18,nan,nan,16.32,61.09,964.28
5/17/2025 10:21,nan,nan,16.05,62.27,964.35
5/17/2025 10:24,nan,nan,16.26,60.86,964.46
5/17/2025 10:27,nan,nan,17.43,58.32,964.39
5/17/2025 10:30,nan,nan,17.94,57.17,964.47
5/17/2025 10:33,nan,nan,18.64,53.86,964.42
5/17/2025 10:36,nan,nan,18.44,52.57,964.4
5/17/2025 10:39,nan,nan,18.98,50.7,964.44
5/17/2025 10:42,nan,nan,19.07,52.01,964.41
5/17/2025 10:45,nan,nan,21.27,47.38,964.45
5/17/2025 10:48,nan,nan,20.5,45.85,964.44
5/17/2025 10:51,nan,nan,20.3,46.83,964.49
5/17/2025 10:54,nan,nan,21.26,43.16,964.43
5/17/2025 10:57,nan,nan,20.12,43.33,964.51
5/17/2025 11:00,nan,nan,20.29,42.64,964.49
5/17/2025 11:03,nan,nan,19.64,43.86,964.54
5/17/2025 11:06,nan,nan,19.36,44.31,964.5
5/17/2025 11:09,nan,nan,19.66,45.3,964.43
5/17/2025 11:12,nan,nan,19.58,46.24,964.49
5/17/2025 11:15,nan,nan,19.6,46.43,964.47
5/17/2025 11:18,nan,nan,18.44,48.79,964.59
5/17/2025 11:21,nan,nan,20.94,41.73,964.48
5/17/2025 11:24,nan,nan,19.32,42.28,964.47
5/17/2025 11:27,nan,nan,18.89,41.5,964.51
5/17/2025 11:30,nan,nan,20.07,39.52,964.45
5/17/2025 11:33,nan,nan,20.39,38.48,964.44
5/17/2025 11:36,nan,nan,20.91,37.96,964.45
5/17/2025 11:39,nan,nan,22.37,37.33,964.47
5/17/2025 11:42,nan,nan,22.59,36.4,964.54
5/17/2025 11:45,nan,nan,21.35,38.64,964.56
5/17/2025 11:48,nan,nan,20.29,42.64,964.61
5/17/2025 11:51,nan,nan,22.36,38.3,964.63
5/17/2025 11:54,nan,nan,23.51,36.34,964.68
5/17/2025 11:57,nan,nan,23.61,37.04,964.75
5/17/2025 12:00,nan,nan,20.67,36.26,964.71
5/17/2025 12:03,nan,nan,21.36,35.27,964.77
5/17/2025 12:06,nan,nan,21.46,37.11,964.78
5/17/2025 12:09,nan,nan,21.68,35.5,964.7
5/17/2025 12:12,nan,nan,22.09,36.41,964.77
5/17/2025 12:15,nan,nan,23.16,35.94,964.8
5/17/2025 12:18,nan,nan,22.11,35.42,964.77
5/17/2025 12:21,nan,nan,19.89,39.17,964.75
5/17/2025 12:24,nan,nan,22.39,36.28,964.73
5/17/2025 12:27,nan,nan,21.93,37.27,964.75
5/17/2025 12:30,nan,nan,20.47,38.08,964.84
5/17/2025 12:33,nan,nan,20.24,38.79,964.87
5/17/2025 12:36,nan,nan,20.18,39.68,964.86
5/17/2025 12:39,nan,nan,21.61,37.94,964.89
5/17/2025 12:42,nan,nan,21.6,36.96,964.87
5/17/2025 12:45,nan,nan,22.64,35.46,964.88
5/17/2025 12:48,nan,nan,22.2,34.03,964.88
5/17/2025 12:51,nan,nan,21.64,35.26,964.85
5/17/2025 12:54,nan,nan,21.84,34.48,964.88
5/17/2025 12:57,nan,nan,22,34.01,964.83
5/17/2025 13:00,nan,nan,22.13,34.83,964.86
5/17/2025 13:03,nan,nan,21.83,33.83,964.86
5/17/2025 13:06,nan,nan,21.91,34.29,964.86
5/17/2025 13:09,nan,nan,22.74,33.53,964.83
5/17/2025 13:12,nan,nan,21.78,33.09,964.83
5/17/2025 13:15,nan,nan,21.62,35.56,964.79
5/17/2025 13:18,nan,nan,22.37,32.65,964.81
5/17/2025 13:21,nan,nan,22.66,32.49,964.83
5/17/2025 13:24,nan,nan,22.88,32.35,964.83
5/17/2025 13:27,nan,nan,23.02,31.89,964.88
5/17/2025 13:30,nan,nan,22.45,33.15,964.99
5/17/2025 13:33,nan,nan,22.7,32.58,964.97
5/17/2025 13:36,nan,nan,21.94,34.01,964.94
5/17/2025 13:39,nan,nan,20.98,35.85,964.95
5/17/2025 13:42,nan,nan,21.28,35.7,964.98
5/17/2025 13:45,nan,nan,21.79,33.49,965.06
5/17/2025 13:48,nan,nan,21.47,33.99,965.07
5/17/2025 13:51,nan,nan,21.36,33.29,965.13
5/17/2025 13:54,nan,nan,21.09,33.33,965.11
5/17/2025 13:57,nan,nan,21.04,34.03,965.25
5/17/2025 14:00,nan,nan,21.35,33.22,965.24
5/17/2025 14:03,nan,nan,21.26,33.05,965.28
5/17/2025 14:06,nan,nan,20.79,33.74,965.23
5/17/2025 14:09,nan,nan,20.79,35.1,965.22
5/17/2025 14:12,nan,nan,20.76,35.74,965.24
5/17/2025 14:15,nan,nan,20.82,34.03,965.31
5/17/2025 14:18,nan,nan,20.94,33.48,965.27
5/17/2025 14:21,nan,nan,21.24,33.03,965.23
5/17/2025 14:24,nan,nan,21.22,33.7,965.33
5/17/2025 14:27,nan,nan,21.31,33.19,965.42
5/17/2025 14:30,nan,nan,21.29,33.87,965.5
5/17/2025 14:33,nan,nan,21.32,34.77,965.51
5/17/2025 14:36,nan,nan,20.74,32.32,965.46
5/17/2025 14:39,nan,nan,20.75,31.55,965.41
5/17/2025 14:42,nan,nan,21.22,32.92,965.54
5/17/2025 14:45,nan,nan,21.13,32.73,965.45
5/17/2025 14:48,nan,nan,20.27,31.84,965.51
5/17/2025 14:51,nan,nan,20.21,33.61,965.58
5/17/2025 14:54,nan,nan,20.3,34.32,965.59
5/17/2025 14:57,nan,nan,20.38,32.64,965.59
5/17/2025 15:00,nan,nan,20.55,32.64,965.68
5/17/2025 15:03,nan,nan,20.68,31.9,965.65
5/17/2025 15:06,nan,nan,20.91,31.24,965.79
